Rider Name,Height(m),Weight(kg),Hometown,Team,UCI Ranking Points,UCI Ranking Position,Age,Nationality
Łukasz Owsian,1.81,66,Toruń,Team Arkéa Samsic,101,481,33,PL
Jenthe Biermans,1.84,78,Geel,Team Arkéa Samsic,393,150,27,BE
Matis Louvel,1.87,73,Mont Saint Aignan,Team Arkéa Samsic,497,106,23,FR
Cristián Rodríguez,1.78,56,El Ejido,Team Arkéa Samsic,156,358,28,ES
Kévin Vauquelin,1.76,69,Bayeux,Team Arkéa Samsic,633,73,21,FR
Kévin Ledanois,1.81,67,Noisy-le-Sec,Team Arkéa Samsic,61,656,29,FR
Clément Russo,1.86,73,Lyon,Team Arkéa Samsic,122,418,28,FR
Thibault Guernalec,1.85,71,Châteaulin,Team Arkéa Samsic,49,756,25,FR
Simon Guglielmi,1.8,66,Chambéry,Team Arkéa Samsic,102,477,25,FR
David Dekker,1.9,80,Turnhout,Team Arkéa Samsic,28,1026,25,NL
Alan Riou,1.76,68,Lannion,Team Arkéa Samsic,26,1066,25,FR
Michel Ries,1.84,67,Luxembourg,Team Arkéa Samsic,61,661,24,LU
Louis Barré,1.84,68,Nantes,Team Arkéa Samsic,108,452,22,FR
Donavan Grondin,1.83,77,Saint-Pierre,Team Arkéa Samsic,59,685,22,FR
Alessandro Verre,1.7,59,Marsicovetere,Team Arkéa Samsic,71,613,21,IT
Mathis Le Berre,1.76,68,Saint-Brieuc,Team Arkéa Samsic,78,585,21,FR
Andrii Ponomar,1.83,65,Chernihiv,Team Arkéa Samsic,35,916,20,UA
Ewen Costiou,1.76,64,Brest,Team Arkéa Samsic,51,742,20,FR
John Degenkolb,1.79,82,Gera,Team DSM,193,298,34,DE
Romain Bardet,1.84,65,Brioude,Team DSM,953,37,32,FR
Patrick Bevin,1.8,75,Taupo,Team DSM,292,219,32,NZ
Alberto Dainese,1.76,70,Abano Terme,Team DSM,454,121,24,IT
Andreas Leknessund,1.85,72,Tromsø,Team DSM,507,101,23,NO
Chris Hamilton,1.78,70,Bendigo,Team DSM,115,433,27,AU
Harm Vanhoucke,1.77,65,Kortrijk,Team DSM,344,186,25,BE
Romain Combaud,1.75,63,Saint-Doulchard,Team DSM,65,633,31,FR
Martijn Tusveld,1.87,70,Utrecht,Team DSM,117,427,29,NL
Alex Edmondson,1.84,75,Miri,Team DSM,70,616,29,AU
Nils Eekhoff,1.91,75,Rijsenhout,Team DSM,45,795,25,NL
Sam Welsford,1.82,79,Subiaco,Team DSM,406,146,27,AU
Marius Mayrhofer,1.82,70,Tübingen,Team DSM,257,247,22,DE
Kevin Vermaerke,1.79,67,Rancho Santa Margarita,Team DSM,138,383,22,US
Niklas Märkl,1.85,70,Queidersbach,Team DSM,41,839,24,DE
Marco Brenner,1.78,59,Augsburg,Team DSM,129,404,20,DE
Pavel Bittner,1.86,73,Olomouc,Team DSM,99,494,20,CZ
Florian Stork,1.84,65,Bünde,Team DSM,15,1318,25,DE
Sean Flynn,1.77,67,Edinburgh,Team DSM,54,726,23,GB
Leon Heinschke,1.8,70,Frankfurt an der Oder,Team DSM,15,1325,23,DE
Frederik Rodenberg,1.87,73,Værløse,Team DSM,1,2236,25,DK
Lund Andresen Tobias,1.81,69,Taastrup,Team DSM,21,1161,20,DK
Lorenzo Milesi,1.8,70,San Giovanni Bianco,Team DSM,17,1259,20,IT
Tim Naberman,1.85,70,Genemuiden,Team DSM,10,1516,23,NL
Michael Matthews,1.78,72,Canberra,Team Jayco AlUla,1218.67,18,32,AU
Simon Yates,1.72,58,Bury,Team Jayco AlUla,1076,28,30,GB
Dylan Groenewegen,1.77,70,Amsterdam,Team Jayco AlUla,1059.43,29,29,NL
Zdeněk Štybar,1.83,68,Planá,Team Jayco AlUla,146,371,37,CZ
Luka Mezgec,1.83,72,Kranj,Team Jayco AlUla,239.4299999,262,34,SI
Luke Durbridge,1.87,78,Greenmount,Team Jayco AlUla,87.66999996,546,31,AU
Alessandro De Marchi,1.81,65,San Daniele del Friuli,Team Jayco AlUla,106,462,36,IT
Christopher Juul-Jensen,1.83,73,Kilmacanogue,Team Jayco AlUla,60,668,33,DK
Lucas Hamilton,1.84,71,Ararat,Team Jayco AlUla,200,290,27,AU
Lawson Craddock,1.78,69,Houston,Team Jayco AlUla,119,424,31,US
Grøndahl Jansen Amund,1.87,83,Nes,Team Jayco AlUla,35,911,29,NO
Eddie Dunbar,1.7,57,Banteer,Team Jayco AlUla,269,239,26,IE
Tsgabu Grmay,1.75,63,Mek'ele,Team Jayco AlUla,54,716,31,ET
Michael Hepburn,1.86,77,Brisbane,Team Jayco AlUla,76.42999995,587,31,AU
Lukas Pöstlberger,1.82,70,Vöcklabruck,Team Jayco AlUla,46,778,31,AT
Chris Harper,1.85,67,Melbourne,Team Jayco AlUla,76,590,28,AU
Matteo Sobrero,1.77,63,Alba,Team Jayco AlUla,376.3299999,160,25,IT
Filippo Zana,1.85,65,Thiene,Team Jayco AlUla,287,224,23,IT
Elmar Reinders,1.91,78,Emmen,Team Jayco AlUla,85.92999996,554,30,NL
Kevin Colleoni,1.8,66,Ponte San Pietro,Team Jayco AlUla,131,399,23,IT
Callum Scotson,1.84,77,Campbelltown,Team Jayco AlUla,90.42999995,534,26,AU
Jan Maas,1.89,70,Bergen op Zoom,Team Jayco AlUla,67.42999995,626,27,NL
Felix Engelhardt,1.8,68,Ulm,Team Jayco AlUla,121.83,419,22,DE
Kelland O'Brien,1.92,79,Melbourne,Team Jayco AlUla,99,492,24,AU
Campbell Stewart,1.81,76,Palmerston North,Team Jayco AlUla,31,962,24,NZ
Alexandre Balmer,1.92,70,La Chaux-de-Fonds,Team Jayco AlUla,84,564,22,CH
Blake Quick,1.87,77,Brisbane,Team Jayco AlUla,14.42999995,1361,23,AU
David Peña Jesús,1.7,55,Zipaquirá,Team Jayco AlUla,5,1881,22,CO
Bauke Mollema,1.83,64,Groningen,Trek - Segafredo,674.5,68,36,NL
Tony Gallopin,1.8,69,Dourdan,Trek - Segafredo,167,329,34,FR
Jasper Stuyven,1.86,78,Leuven,Trek - Segafredo,477,114,30,BE
Mads Pedersen,1.79,70,Tølløse,Trek - Segafredo,1441,7,27,DK
Edward Theuns,1.83,72,Gent,Trek - Segafredo,511,100,31,BE
Dario Cataldo,1.75,64,Lanciano,Trek - Segafredo,55,709,37,IT
Giulio Ciccone,1.76,58,Chieti,Trek - Segafredo,558,88,28,IT
Toms Skujiņš,1.78,70,Sigulda,Trek - Segafredo,375,162,31,LV
Jon Aberasturi,1.73,69,Vitoria-Gasteiz,Trek - Segafredo,109.14,446,33,ES
